millis,Date,Time,Sensor1,Sensor2,Sensor3,Trigger,Sensor1 Amps,Sensor2 Amps,Sensor3 Amps,Trigger amps
502, 1470923923, 13:58:43, 8, 0, 0, 0, 0.16, 0.00, 0.00, 0.00, 
1002, 1470923924, 13:58:44, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
1502, 1470923924, 13:58:44, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
2002, 1470923925, 13:58:45, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
2502, 1470923925, 13:58:45, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
3002, 1470923926, 13:58:46, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
3502, 1470923926, 13:58:46, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
4002, 1470923927, 13:58:47, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
4502, 1470923927, 13:58:47, 4, 0, 0, 0, 0.08, 0.00, 0.00, 0.00, 
5002, 1470923928, 13:58:48, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
5502, 1470923928, 13:58:48, 1, 0, 1, 0, 0.02, 0.00, 0.02, 0.00, 
