millis,Date,Time,Sensor1,Sensor2,Sensor3,Trigger,Sensor1 Amps,Sensor2 Amps,Sensor3 Amps,Trigger amps
502, 1472465916, 10:18:36, 8, 1, 0, 1, 0.16, 0.02, 0.00, 0.02, 
1002, 1472465916, 10:18:36, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
1502, 1472465917, 10:18:37, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
2002, 1472465917, 10:18:37, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
2502, 1472465918, 10:18:38, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
3002, 1472465918, 10:18:38, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
3502, 1472465919, 10:18:39, 4, 8, 0, 0, 0.08, 0.16, 0.00, 0.00, 
4002, 1472465919, 10:18:39, 8, 4, 0, 0, 0.16, 0.08, 0.00, 0.00, 
4502, 1472465920, 10:18:40, 8, 4, 0, 0, 0.16, 0.08, 0.00, 0.00, 
5002, 1472465920, 10:18:40, 4, 8, 0, 0, 0.08, 0.16, 0.00, 0.00, 
5502, 1472465921, 10:18:41, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
6002, 1472465921, 10:18:41, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
6502, 1472465922, 10:18:42, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
7002, 1472465922, 10:18:42, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
7502, 1472465923, 10:18:43, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
8002, 1472465923, 10:18:43, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
8502, 1472465924, 10:18:44, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
9003, 1472465924, 10:18:44, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
9502, 1472465925, 10:18:45, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
10002, 1472465925, 10:18:45, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
10502, 1472465926, 10:18:46, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
11002, 1472465926, 10:18:46, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
11502, 1472465927, 10:18:47, 5, 8, 1, 0, 0.10, 0.16, 0.02, 0.00, 
12002, 1472465927, 10:18:47, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
12503, 1472465928, 10:18:48, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
13002, 1472465928, 10:18:48, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
13502, 1472465929, 10:18:49, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
14002, 1472465929, 10:18:49, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
14502, 1472465930, 10:18:50, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
15002, 1472465930, 10:18:50, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
15502, 1472465931, 10:18:51, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
16002, 1472465931, 10:18:51, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
16502, 1472465932, 10:18:52, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
17002, 1472465932, 10:18:52, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
17502, 1472465933, 10:18:53, 8, 1, 0, 1, 0.16, 0.02, 0.00, 0.02, 
18002, 1472465933, 10:18:53, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
18502, 1472465934, 10:18:54, 4, 8, 0, 1, 0.08, 0.16, 0.00, 0.02, 
19002, 1472465934, 10:18:54, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
19502, 1472465935, 10:18:55, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
20002, 1472465935, 10:18:55, 4, 8, 0, 1, 0.08, 0.16, 0.00, 0.02, 
20502, 1472465936, 10:18:56, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
21002, 1472465936, 10:18:56, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
21502, 1472465937, 10:18:57, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
22002, 1472465937, 10:18:57, 8, 4, 1, 0, 0.16, 0.08, 0.02, 0.00, 
22502, 1472465938, 10:18:58, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
23002, 1472465938, 10:18:58, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
23502, 1472465939, 10:18:59, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
24002, 1472465939, 10:18:59, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
24502, 1472465940, 10:19:0, 8, 4, 0, 0, 0.16, 0.08, 0.00, 0.00, 
25003, 1472465940, 10:19:0, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
25502, 1472465941, 10:19:1, 0, 8, 0, 1, 0.00, 0.16, 0.00, 0.02, 
26002, 1472465941, 10:19:1, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
26502, 1472465942, 10:19:2, 8, 4, 1, 0, 0.16, 0.08, 0.02, 0.00, 
27002, 1472465942, 10:19:2, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
27502, 1472465943, 10:19:3, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
28002, 1472465943, 10:19:3, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
28503, 1472465944, 10:19:4, 4, 5, 0, 1, 0.08, 0.10, 0.00, 0.02, 
29002, 1472465944, 10:19:4, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
29502, 1472465945, 10:19:5, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
30002, 1472465945, 10:19:5, 5, 8, 1, 0, 0.10, 0.16, 0.02, 0.00, 
30502, 1472465946, 10:19:6, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
31002, 1472465946, 10:19:6, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
31502, 1472465947, 10:19:7, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
32002, 1472465947, 10:19:7, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
32502, 1472465948, 10:19:8, 5, 8, 1, 0, 0.10, 0.16, 0.02, 0.00, 
33002, 1472465948, 10:19:8, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
33502, 1472465949, 10:19:9, 4, 8, 0, 1, 0.08, 0.16, 0.00, 0.02, 
