millis,Date,Time,Sensor1,Sensor2,Sensor3,Trigger,Sensor1 Amps,Sensor2 Amps,Sensor3 Amps,Trigger amps
502, 1472025762, 8:2:42, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
1002, 1472025762, 8:2:42, 4, 1, 0, 1, 0.08, 0.02, 0.00, 0.02, 
1502, 1472025763, 8:2:43, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
2002, 1472025763, 8:2:43, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
2502, 1472025764, 8:2:44, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
3002, 1472025764, 8:2:44, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
3502, 1472025765, 8:2:45, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
4002, 1472025765, 8:2:45, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
4502, 1472025766, 8:2:46, 4, 1, 0, 1, 0.08, 0.02, 0.00, 0.02, 
5002, 1472025766, 8:2:46, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
5502, 1472025767, 8:2:47, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
6002, 1472025767, 8:2:47, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
6502, 1472025768, 8:2:48, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
7002, 1472025768, 8:2:48, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
7502, 1472025769, 8:2:49, 4, 5, 0, 1, 0.08, 0.10, 0.00, 0.02, 
8002, 1472025769, 8:2:49, 4, 5, 0, 1, 0.08, 0.10, 0.00, 0.02, 
8502, 1472025770, 8:2:50, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
9003, 1472025770, 8:2:50, 4, 5, 0, 1, 0.08, 0.10, 0.00, 0.02, 
9502, 1472025771, 8:2:51, 4, 0, 0, 0, 0.08, 0.00, 0.00, 0.00, 
10002, 1472025771, 8:2:51, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
10502, 1472025772, 8:2:52, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
11002, 1472025772, 8:2:52, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
11502, 1472025773, 8:2:53, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
12002, 1472025773, 8:2:53, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
12503, 1472025774, 8:2:54, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
13002, 1472025774, 8:2:54, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
13502, 1472025775, 8:2:55, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
14002, 1472025775, 8:2:55, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
14502, 1472025776, 8:2:56, 4, 5, 0, 1, 0.08, 0.10, 0.00, 0.02, 
15002, 1472025776, 8:2:56, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
15502, 1472025777, 8:2:57, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
16002, 1472025777, 8:2:57, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
16502, 1472025778, 8:2:58, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
17002, 1472025778, 8:2:58, 8, 0, 0, 0, 0.16, 0.00, 0.00, 0.00, 
17502, 1472025779, 8:2:59, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
18002, 1472025779, 8:2:59, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
18502, 1472025780, 8:3:0, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
19002, 1472025780, 8:3:0, 0, 4, 1, 0, 0.00, 0.08, 0.02, 0.00, 
19502, 1472025781, 8:3:1, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
20002, 1472025781, 8:3:1, 5, 4, 1, 0, 0.10, 0.08, 0.02, 0.00, 
20502, 1472025782, 8:3:2, 4, 0, 0, 0, 0.08, 0.00, 0.00, 0.00, 
21002, 1472025782, 8:3:2, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
21502, 1472025783, 8:3:3, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
22002, 1472025783, 8:3:3, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
22502, 1472025784, 8:3:4, 4, 0, 0, 0, 0.08, 0.00, 0.00, 0.00, 
