millis,Date,Time,Sensor1,Sensor2,Sensor3,Trigger,Sensor1 Amps,Sensor2 Amps,Sensor3 Amps,Trigger amps
502, 1472111912, 7:58:32, 8, 4, 0, 0, 0.16, 0.08, 0.00, 0.00, 
1002, 1472111912, 7:58:32, 4, 3, 0, 0, 0.08, 0.06, 0.00, 0.00, 
1502, 1472111913, 7:58:33, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
2002, 1472111913, 7:58:33, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
2502, 1472111914, 7:58:34, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
3002, 1472111914, 7:58:34, 0, 5, 0, 1, 0.00, 0.10, 0.00, 0.02, 
3502, 1472111915, 7:58:35, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
4002, 1472111915, 7:58:35, 5, 8, 1, 0, 0.10, 0.16, 0.02, 0.00, 
4502, 1472111916, 7:58:36, 5, 4, 1, 0, 0.10, 0.08, 0.02, 0.00, 
5002, 1472111916, 7:58:36, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
5502, 1472111917, 7:58:37, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
6002, 1472111917, 7:58:37, 8, 0, 0, 0, 0.16, 0.00, 0.00, 0.00, 
6502, 1472111918, 7:58:38, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
7002, 1472111918, 7:58:38, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
7502, 1472111919, 7:58:39, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
8002, 1472111919, 7:58:39, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
8502, 1472111920, 7:58:40, 4, 0, 0, 0, 0.08, 0.00, 0.00, 0.00, 
9003, 1472111920, 7:58:40, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
9502, 1472111921, 7:58:41, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
10002, 1472111921, 7:58:41, 8, 4, 1, 0, 0.16, 0.08, 0.02, 0.00, 
10502, 1472111922, 7:58:42, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
11002, 1472111922, 7:58:42, 0, 4, 0, 1, 0.00, 0.08, 0.00, 0.02, 
11502, 1472111923, 7:58:43, 4, 1, 0, 1, 0.08, 0.02, 0.00, 0.02, 
12002, 1472111923, 7:58:43, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
12503, 1472111924, 7:58:44, 4, 0, 0, 0, 0.08, 0.00, 0.00, 0.00, 
13002, 1472111924, 7:58:44, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
13502, 1472111925, 7:58:45, 5, 8, 1, 0, 0.10, 0.16, 0.02, 0.00, 
14002, 1472111925, 7:58:45, 4, 5, 0, 1, 0.08, 0.10, 0.00, 0.02, 
14502, 1472111926, 7:58:46, 0, 8, 0, 1, 0.00, 0.16, 0.00, 0.02, 
15002, 1472111926, 7:58:46, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
15502, 1472111927, 7:58:47, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
16002, 1472111927, 7:58:47, 5, 8, 1, 0, 0.10, 0.16, 0.02, 0.00, 
16502, 1472111928, 7:58:48, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
17002, 1472111928, 7:58:48, 8, 4, 0, 0, 0.16, 0.08, 0.00, 0.00, 
17502, 1472111929, 7:58:49, 0, 8, 0, 1, 0.00, 0.16, 0.00, 0.02, 
18002, 1472111929, 7:58:49, 4, 0, 0, 0, 0.08, 0.00, 0.00, 0.00, 
18502, 1472111930, 7:58:50, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
19002, 1472111930, 7:58:50, 0, 8, 0, 1, 0.00, 0.16, 0.00, 0.02, 
19502, 1472111931, 7:58:51, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
20002, 1472111931, 7:58:51, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
20502, 1472111932, 7:58:52, 4, 0, 0, 0, 0.08, 0.00, 0.00, 0.00, 
21002, 1472111932, 7:58:52, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
21502, 1472111933, 7:58:53, 4, 0, 0, 0, 0.08, 0.00, 0.00, 0.00, 
22002, 1472111933, 7:58:53, 0, 8, 0, 1, 0.00, 0.16, 0.00, 0.02, 
22502, 1472111934, 7:58:54, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
23002, 1472111934, 7:58:54, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
23502, 1472111935, 7:58:55, 5, 8, 1, 0, 0.10, 0.16, 0.02, 0.00, 
24002, 1472111935, 7:58:55, 4, 0, 0, 0, 0.08, 0.00, 0.00, 0.00, 
24502, 1472111936, 7:58:56, 3, 8, 0, 0, 0.06, 0.16, 0.00, 0.00, 
25003, 1472111936, 7:58:56, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
25502, 1472111937, 7:58:57, 3, 8, 0, 0, 0.06, 0.16, 0.00, 0.00, 
26002, 1472111937, 7:58:57, 8, 0, 0, 0, 0.16, 0.00, 0.00, 0.00, 
26502, 1472111938, 7:58:58, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
27002, 1472111938, 7:58:58, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
27502, 1472111939, 7:58:59, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
28002, 1472111939, 7:58:59, 3, 8, 0, 0, 0.06, 0.16, 0.00, 0.00, 
28503, 1472111940, 7:59:0, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
