millis,Date,Time,Sensor1,Sensor2,Sensor3,Trigger,Sensor1 Amps,Sensor2 Amps,Sensor3 Amps,Trigger amps
502, 1471948237, 10:30:37, 8, 1, 4, 1, 0.16, 0.02, 0.08, 0.02, 
1002, 1471948238, 10:30:38, 0, 8, 0, 4, 0.00, 0.16, 0.00, 0.08, 
1502, 1471948238, 10:30:38, 4, 4, 0, 0, 0.08, 0.08, 0.00, 0.00, 
2002, 1471948239, 10:30:39, 8, 8, 0, 0, 0.16, 0.16, 0.00, 0.00, 
2502, 1471948239, 10:30:39, 4, 8, 0, 0, 0.08, 0.16, 0.00, 0.00, 
3002, 1471948240, 10:30:40, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
3502, 1471948240, 10:30:40, 8, 1, 4, 0, 0.16, 0.02, 0.08, 0.00, 
4002, 1471948241, 10:30:41, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
4502, 1471948241, 10:30:41, 8, 1, 0, 1, 0.16, 0.02, 0.00, 0.02, 
5002, 1471948242, 10:30:42, 8, 0, 0, 0, 0.16, 0.00, 0.00, 0.00, 
5502, 1471948242, 10:30:42, 4, 4, 0, 0, 0.08, 0.08, 0.00, 0.00, 
6002, 1471948243, 10:30:43, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
6502, 1471948243, 10:30:43, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
7002, 1471948244, 10:30:44, 1, 4, 0, 0, 0.02, 0.08, 0.00, 0.00, 
7502, 1471948244, 10:30:44, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
8002, 1471948245, 10:30:45, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
8502, 1471948245, 10:30:45, 276, 255, 248, 231, 5.40, 4.99, 4.85, 4.52, 
9003, 1471948246, 10:30:46, 48, 33, 40, 41, 0.94, 0.65, 0.78, 0.80, 
9502, 1471948246, 10:30:46, 16, 3, 8, 1, 0.31, 0.06, 0.16, 0.02, 
10002, 1471948247, 10:30:47, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
10502, 1471948247, 10:30:47, 8, 4, 0, 0, 0.16, 0.08, 0.00, 0.00, 
11002, 1471948248, 10:30:48, 8, 0, 0, 0, 0.16, 0.00, 0.00, 0.00, 
11502, 1471948248, 10:30:48, 8, 1, 0, 1, 0.16, 0.02, 0.00, 0.02, 
12002, 1471948249, 10:30:49, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
12503, 1471948249, 10:30:49, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
13002, 1471948250, 10:30:50, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
13502, 1471948250, 10:30:50, 8, 1, 0, 1, 0.16, 0.02, 0.00, 0.02, 
14002, 1471948251, 10:30:51, 8, 0, 0, 0, 0.16, 0.00, 0.00, 0.00, 
14502, 1471948251, 10:30:51, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
15002, 1471948252, 10:30:52, 8, 1, 0, 1, 0.16, 0.02, 0.00, 0.02, 
15502, 1471948252, 10:30:52, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
16002, 1471948253, 10:30:53, 8, 1, 0, 1, 0.16, 0.02, 0.00, 0.02, 
