millis,Date,Time,Sensor1,Sensor2,Sensor3,Trigger,Sensor1 Amps,Sensor2 Amps,Sensor3 Amps,Trigger amps
502, 1470913974, 11:12:54, 8, 4, 0, 0, 0.16, 0.08, 0.00, 0.00, 
1002, 1470913974, 11:12:54, 4, 8, 0, 0, 0.08, 0.16, 0.00, 0.00, 
1502, 1470913975, 11:12:55, 8, 0, 0, 0, 0.16, 0.00, 0.00, 0.00, 
2002, 1470913975, 11:12:55, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
2502, 1470913976, 11:12:56, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
3002, 1470913976, 11:12:56, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
3502, 1470913977, 11:12:57, 4, 8, 0, 0, 0.08, 0.16, 0.00, 0.00, 
4002, 1470913977, 11:12:57, 8, 1, 0, 1, 0.16, 0.02, 0.00, 0.02, 
4502, 1470913978, 11:12:58, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
5002, 1470913978, 11:12:58, 8, 4, 0, 0, 0.16, 0.08, 0.00, 0.00, 
5502, 1470913979, 11:12:59, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
6002, 1470913979, 11:12:59, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
6502, 1470913980, 11:13:0, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
7002, 1470913980, 11:13:0, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
7502, 1470913981, 11:13:1, 8, 0, 0, 0, 0.16, 0.00, 0.00, 0.00, 
8002, 1470913981, 11:13:1, 8, 0, 0, 0, 0.16, 0.00, 0.00, 0.00, 
8502, 1470913982, 11:13:2, 8, 0, 0, 0, 0.16, 0.00, 0.00, 0.00, 
9003, 1470913982, 11:13:2, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
9502, 1470913983, 11:13:3, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
10002, 1470913983, 11:13:3, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
10502, 1470913984, 11:13:4, 8, 1, 0, 1, 0.16, 0.02, 0.00, 0.02, 
11002, 1470913984, 11:13:4, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
11502, 1470913985, 11:13:5, 4, 8, 0, 1, 0.08, 0.16, 0.00, 0.02, 
12002, 1470913985, 11:13:5, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
12503, 1470913986, 11:13:6, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
13002, 1470913986, 11:13:6, 4, 1, 0, 1, 0.08, 0.02, 0.00, 0.02, 
13502, 1470913987, 11:13:7, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
14002, 1470913987, 11:13:7, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
14502, 1470913988, 11:13:8, 5, 4, 1, 0, 0.10, 0.08, 0.02, 0.00, 
15002, 1470913988, 11:13:8, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
15502, 1470913989, 11:13:9, 4, 4, 0, 0, 0.08, 0.08, 0.00, 0.00, 
16002, 1470913989, 11:13:9, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
16502, 1470913990, 11:13:10, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
17002, 1470913990, 11:13:10, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
17502, 1470913991, 11:13:11, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
18002, 1470913991, 11:13:11, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
18502, 1470913992, 11:13:12, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
19002, 1470913992, 11:13:12, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
19502, 1470913993, 11:13:13, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
20002, 1470913993, 11:13:13, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
20502, 1470913994, 11:13:14, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
21002, 1470913994, 11:13:14, 8, 5, 0, 1, 0.16, 0.10, 0.00, 0.02, 
21502, 1470913995, 11:13:15, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
22002, 1470913995, 11:13:15, 4, 8, 0, 1, 0.08, 0.16, 0.00, 0.02, 
22502, 1470913996, 11:13:16, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
23002, 1470913996, 11:13:16, 4, 1, 0, 1, 0.08, 0.02, 0.00, 0.02, 
23502, 1470913997, 11:13:17, 4, 4, 0, 1, 0.08, 0.08, 0.00, 0.02, 
24002, 1470913997, 11:13:17, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
24502, 1470913998, 11:13:18, 4, 8, 0, 1, 0.08, 0.16, 0.00, 0.02, 
25003, 1470913998, 11:13:18, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
25502, 1470913999, 11:13:19, 4, 4, 0, 0, 0.08, 0.08, 0.00, 0.00, 
26002, 1470913999, 11:13:19, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
26502, 1470914000, 11:13:20, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
27002, 1470914000, 11:13:20, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
