millis,Date,Time,Sensor1,Sensor2,Sensor3,Trigger,Sensor1 Amps,Sensor2 Amps,Sensor3 Amps,Trigger amps
543, 1470851506, 17:51:46, 2, 8, 0, 1, 0.04, 0.16, 0.00, 0.02, 
1043, 1470851506, 17:51:46, 0, 4, 0, 1, 0.00, 0.08, 0.00, 0.02, 
1543, 1470851507, 17:51:47, 5, 4, 1, 0, 0.10, 0.08, 0.02, 0.00, 
2043, 1470851507, 17:51:47, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
2543, 1470851508, 17:51:48, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
3043, 1470851508, 17:51:48, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
3544, 1470851509, 17:51:49, 4, 5, 0, 1, 0.08, 0.10, 0.00, 0.02, 
4044, 1470851509, 17:51:49, 0, 5, 0, 1, 0.00, 0.10, 0.00, 0.02, 
4544, 1470851510, 17:51:50, 3, 8, 0, 0, 0.06, 0.16, 0.00, 0.00, 
5044, 1470851510, 17:51:50, 5, 4, 1, 0, 0.10, 0.08, 0.02, 0.00, 
5544, 1470851511, 17:51:51, 8, 4, 1, 0, 0.16, 0.08, 0.02, 0.00, 
6044, 1470851511, 17:51:51, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
6544, 1470851512, 17:51:52, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
7044, 1470851512, 17:51:52, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
7544, 1470851513, 17:51:53, 1, 4, 1, 0, 0.02, 0.08, 0.02, 0.00, 
8044, 1470851513, 17:51:53, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
8544, 1470851514, 17:51:54, 4, 4, 0, 0, 0.08, 0.08, 0.00, 0.00, 
9044, 1470851514, 17:51:54, 919, 920, 927, 0, 17.97, 17.99, 18.12, 0.00, 
9544, 1470851515, 17:51:55, 694, 653, 664, 0, 13.57, 12.77, 12.98, 0.00, 
10044, 1470851515, 17:51:55, 247, 224, 231, 0, 4.83, 4.38, 4.52, 0.00, 
10544, 1470851516, 17:51:56, 180, 147, 160, 0, 3.52, 2.87, 3.13, 0.00, 
11044, 1470851516, 17:51:56, 545, 523, 531, 378, 10.65, 10.22, 10.38, 7.39, 
11544, 1470851517, 17:51:57, 460, 423, 454, 332, 8.99, 8.27, 8.88, 6.49, 
12044, 1470851517, 17:51:57, 296, 243, 288, 135, 5.79, 4.75, 5.63, 2.64, 
12545, 1470851518, 17:51:58, 272, 220, 257, 112, 5.32, 4.30, 5.02, 2.19, 
13044, 1470851518, 17:51:58, 255, 224, 238, 112, 4.99, 4.38, 4.65, 2.19, 
13544, 1470851519, 17:51:59, 255, 225, 240, 99, 4.99, 4.40, 4.69, 1.94, 
14044, 1470851519, 17:51:59, 254, 224, 240, 99, 4.97, 4.38, 4.69, 1.94, 
14544, 1470851520, 17:52:0, 260, 207, 245, 104, 5.08, 4.05, 4.79, 2.03, 
15044, 1470851520, 17:52:0, 255, 217, 240, 87, 4.99, 4.24, 4.69, 1.70, 
15544, 1470851521, 17:52:1, 254, 216, 238, 105, 4.97, 4.22, 4.65, 2.05, 
16045, 1470851521, 17:52:1, 265, 212, 235, 104, 5.18, 4.14, 4.59, 2.03, 
16545, 1470851522, 17:52:2, 260, 212, 249, 104, 5.08, 4.14, 4.87, 2.03, 
17045, 1470851522, 17:52:2, 255, 207, 244, 95, 4.99, 4.05, 4.77, 1.86, 
17545, 1470851523, 17:52:3, 259, 216, 231, 104, 5.06, 4.22, 4.52, 2.03, 
18045, 1470851523, 17:52:3, 254, 199, 242, 95, 4.97, 3.89, 4.73, 1.86, 
18545, 1470851524, 17:52:4, 247, 216, 231, 104, 4.83, 4.22, 4.52, 2.03, 
19045, 1470851524, 17:52:4, 261, 216, 231, 104, 5.10, 4.22, 4.52, 2.03, 
19545, 1470851525, 17:52:5, 257, 216, 231, 104, 5.02, 4.22, 4.52, 2.03, 
20045, 1470851525, 17:52:5, 260, 206, 245, 104, 5.08, 4.03, 4.79, 2.03, 
20545, 1470851526, 17:52:6, 260, 206, 245, 104, 5.08, 4.03, 4.79, 2.03, 
21045, 1470851526, 17:52:6, 254, 199, 240, 95, 4.97, 3.89, 4.69, 1.86, 
21545, 1470851527, 17:52:7, 255, 206, 244, 95, 4.99, 4.03, 4.77, 1.86, 
22045, 1470851527, 17:52:7, 260, 208, 241, 104, 5.08, 4.07, 4.71, 2.03, 
22545, 1470851528, 17:52:8, 254, 199, 240, 95, 4.97, 3.89, 4.69, 1.86, 
23045, 1470851528, 17:52:8, 252, 217, 240, 91, 4.93, 4.24, 4.69, 1.78, 
23545, 1470851529, 17:52:9, 252, 199, 240, 87, 4.93, 3.89, 4.69, 1.70, 
24045, 1470851529, 17:52:9, 252, 211, 240, 87, 4.93, 4.13, 4.69, 1.70, 
24545, 1470851530, 17:52:10, 261, 208, 239, 104, 5.10, 4.07, 4.67, 2.03, 
25046, 1470851530, 17:52:10, 250, 216, 236, 105, 4.89, 4.22, 4.61, 2.05, 
25545, 1470851531, 17:52:11, 252, 217, 240, 99, 4.93, 4.24, 4.69, 1.94, 
26045, 1470851531, 17:52:11, 252, 211, 240, 87, 4.93, 4.13, 4.69, 1.70, 
26545, 1470851532, 17:52:12, 247, 212, 231, 104, 4.83, 4.14, 4.52, 2.03, 
27045, 1470851532, 17:52:12, 252, 213, 240, 91, 4.93, 4.16, 4.69, 1.78, 
27545, 1470851533, 17:52:13, 243, 208, 223, 104, 4.75, 4.07, 4.36, 2.03, 
28045, 1470851533, 17:52:13, 252, 216, 236, 99, 4.93, 4.22, 4.61, 1.94, 
28546, 1470851534, 17:52:14, 252, 199, 240, 87, 4.93, 3.89, 4.69, 1.70, 
29046, 1470851534, 17:52:14, 248, 211, 240, 87, 4.85, 4.13, 4.69, 1.70, 
29546, 1470851535, 17:52:15, 239, 216, 236, 104, 4.67, 4.22, 4.61, 2.03, 
30046, 1470851535, 17:52:15, 257, 212, 231, 104, 5.02, 4.14, 4.52, 2.03, 
30546, 1470851536, 17:52:16, 254, 206, 242, 95, 4.97, 4.03, 4.73, 1.86, 
31046, 1470851536, 17:52:16, 252, 203, 240, 87, 4.93, 3.97, 4.69, 1.70, 
31546, 1470851537, 17:52:17, 239, 212, 232, 105, 4.67, 4.14, 4.54, 2.05, 
32046, 1470851537, 17:52:17, 256, 206, 241, 95, 5.00, 4.03, 4.71, 1.86, 
32546, 1470851538, 17:52:18, 254, 199, 240, 95, 4.97, 3.89, 4.69, 1.86, 
33046, 1470851538, 17:52:18, 239, 212, 231, 104, 4.67, 4.14, 4.52, 2.03, 
33546, 1470851539, 17:52:19, 252, 217, 240, 99, 4.93, 4.24, 4.69, 1.94, 
34046, 1470851539, 17:52:19, 252, 199, 240, 87, 4.93, 3.89, 4.69, 1.70, 
34546, 1470851540, 17:52:20, 243, 212, 231, 104, 4.75, 4.14, 4.52, 2.03, 
35046, 1470851540, 17:52:20, 239, 212, 232, 104, 4.67, 4.14, 4.54, 2.03, 
35546, 1470851541, 17:52:21, 252, 199, 240, 87, 4.93, 3.89, 4.69, 1.70, 
36046, 1470851541, 17:52:21, 248, 217, 236, 99, 4.85, 4.24, 4.61, 1.94, 
36546, 1470851542, 17:52:22, 250, 213, 236, 99, 4.89, 4.16, 4.61, 1.94, 
37046, 1470851542, 17:52:22, 252, 199, 240, 95, 4.93, 3.89, 4.69, 1.86, 
37547, 1470851543, 17:52:23, 247, 212, 234, 104, 4.83, 4.14, 4.57, 2.03, 
38046, 1470851543, 17:52:23, 239, 212, 231, 104, 4.67, 4.14, 4.52, 2.03, 
38546, 1470851544, 17:52:24, 252, 203, 240, 87, 4.93, 3.97, 4.69, 1.70, 
39046, 1470851544, 17:52:24, 250, 211, 240, 87, 4.89, 4.13, 4.69, 1.70, 
39546, 1470851545, 17:52:25, 256, 206, 241, 104, 5.00, 4.03, 4.71, 2.03, 
40046, 1470851545, 17:52:25, 239, 212, 232, 104, 4.67, 4.14, 4.54, 2.03, 
40546, 1470851546, 17:52:26, 243, 208, 231, 104, 4.75, 4.07, 4.52, 2.03, 
41047, 1470851546, 17:52:26, 257, 208, 231, 104, 5.02, 4.07, 4.52, 2.03, 
41546, 1470851547, 17:52:27, 252, 209, 240, 87, 4.93, 4.09, 4.69, 1.70, 
42046, 1470851547, 17:52:27, 257, 208, 231, 104, 5.02, 4.07, 4.52, 2.03, 
42546, 1470851548, 17:52:28, 243, 208, 227, 104, 4.75, 4.07, 4.44, 2.03, 
43046, 1470851548, 17:52:28, 252, 199, 240, 95, 4.93, 3.89, 4.69, 1.86, 
43546, 1470851549, 17:52:29, 771, 721, 755, 713, 15.07, 14.10, 14.76, 13.94, 
44046, 1470851549, 17:52:29, 260, 234, 245, 236, 5.08, 4.57, 4.79, 4.61, 
44546, 1470851550, 17:52:30, 64, 52, 49, 48, 1.25, 1.02, 0.96, 0.94, 
45046, 1470851550, 17:52:30, 16, 12, 17, 16, 0.31, 0.23, 0.33, 0.31, 
45546, 1470851551, 17:52:31, 4, 8, 4, 5, 0.08, 0.16, 0.08, 0.10, 
46046, 1470851551, 17:52:31, 3, 8, 0, 0, 0.06, 0.16, 0.00, 0.00, 
46546, 1470851552, 17:52:32, 8, 3, 0, 0, 0.16, 0.06, 0.00, 0.00, 
47046, 1470851552, 17:52:32, 3, 8, 0, 0, 0.06, 0.16, 0.00, 0.00, 
