millis,Date,Time,Sensor1,Sensor2,Sensor3,,,,,,
944191,1465890011, 7:40:11,1,376,399,410,0.02,18.38,19.5,20.04, 
945191,1465890012, 7:40:12,3,383,356,393,0.06,18.72,17.4,19.21, 
946191,1465890013, 7:40:13,0,423,388,371,0,20.67,18.96,18.13, 
947191,1465890014, 7:40:14,8,375,352,447,0.16,18.33,17.2,21.85, 
948192,1465890015, 7:40:15,0,444,368,367,0,21.7,17.99,17.94, 
949192,1465890016, 7:40:16,8,384,427,380,0.16,18.77,20.87,18.57, 
950192,1465890017, 7:40:17,31,383,368,364,0.61,18.72,17.99,17.79, 
951192,1465890018, 7:40:18,0,444,368,363,0,21.7,17.99,17.74, 
952193,1465890019, 7:40:19,0,455,358,388,0,22.24,17.5,18.96, 
953193,1465890020, 7:40:20,0,430,368,380,0,21.02,17.99,18.57, 
954193,1465890021, 7:40:21,3,392,343,407,0.06,19.16,16.76,19.89, 
955194,1465890022, 7:40:22,8,384,423,383,0.16,18.77,20.67,18.72, 
956195,1465890023, 7:40:23,0,417,398,393,0,20.38,19.45,19.21, 
957194,1465890024, 7:40:24,8,389,368,438,0.16,19.01,17.99,21.41, 
958194,1465890025, 7:40:25,0,416,343,388,0,20.33,16.76,18.96, 
959194,1465890026, 7:40:26,0,425,392,371,0,20.77,19.16,18.13, 
960194,1465890027, 7:40:27,8,400,368,443,0.16,19.55,17.99,21.65, 
961195,1465890028, 7:40:28,0,447,353,383,0,21.85,17.25,18.72, 
962195,1465890029, 7:40:29,46,400,350,384,0.9,19.55,17.11,18.77, 
963196,1465890030, 7:40:30,32,371,360,384,0.63,18.13,17.6,18.77, 
964195,1465890031, 7:40:31,8,371,352,437,0.16,18.13,17.2,21.36, 
965195,1465890032, 7:40:32,0,457,351,392,0,22.34,17.16,19.16, 
966196,1465890033, 7:40:33,0,376,391,420,0,18.38,19.11,20.53, 
967196,1465890034, 7:40:34,0,416,343,388,0,20.33,16.76,18.96, 
968197,1465890035, 7:40:35,0,413,350,392,0,20.19,17.11,19.16, 
969197,1465890036, 7:40:36,0,455,360,393,0,22.24,17.6,19.21, 
970199,1465890037, 7:40:37,0,403,410,396,0,19.7,20.04,19.35, 
971199,1465890038, 7:40:38,8,371,352,435,0.16,18.13,17.2,21.26, 
972199,1465890039, 7:40:39,54,393,351,384,1.06,19.21,17.16,18.77, 
973198,1465890040, 7:40:40,0,443,368,375,0,21.65,17.99,18.33, 
974198,1465890041, 7:40:41,40,373,360,386,0.78,18.23,17.6,18.87, 
975198,1465890042, 7:40:42,32,371,360,384,0.63,18.13,17.6,18.77, 
976198,1465890043, 7:40:43,40,373,360,384,0.78,18.23,17.6,18.77, 
977198,1465890044, 7:40:44,0,442,368,371,0,21.6,17.99,18.13, 
978198,1465890045, 7:40:45,8,384,423,383,0.16,18.77,20.67,18.72, 
979198,1465890046, 7:40:46,8,392,368,442,0.16,19.16,17.99,21.6, 
980199,1465890047, 7:40:47,0,445,368,367,0,21.75,17.99,17.94, 
981199,1465890048, 7:40:48,0,454,359,383,0,22.19,17.55,18.72, 
982200,1465890049, 7:40:49,0,376,399,404,0,18.38,19.5,19.75, 
983201,1465890050, 7:40:50,0,447,355,380,0,21.85,17.35,18.57, 
984200,1465890051, 7:40:51,31,387,364,369,0.61,18.91,17.79,18.04, 
985200,1465890052, 7:40:52,0,382,352,445,0,18.67,17.2,21.75, 
986200,1465890053, 7:40:53,0,439,360,376,0,21.46,17.6,18.38, 
987200,1465890054, 7:40:54,0,384,415,379,0,18.77,20.28,18.52, 
988200,1465890055, 7:40:55,8,372,385,424,0.16,18.18,18.82,20.72, 
989201,1465890056, 7:40:56,7,385,351,392,0.14,18.82,17.16,19.16, 
990201,1465890057, 7:40:57,8,384,423,383,0.16,18.77,20.67,18.72, 
991201,1465890058, 7:40:58,0,384,403,402,0,18.77,19.7,19.65, 
992201,1465890059, 7:40:59,24,375,360,384,0.47,18.33,17.6,18.77, 
993202,1465890060, 7:41:0,0,447,360,384,0,21.85,17.6,18.77, 
994202,1465890061, 7:41:1,4,384,419,379,0.08,18.77,20.48,18.52, 
995203,1465890062, 7:41:2,8,394,364,446,0.16,19.26,17.79,21.8, 
996203,1465890063, 7:41:3,31,383,361,376,0.61,18.72,17.64,18.38, 
997204,1465890064, 7:41:4,0,388,344,447,0,18.96,16.81,21.85, 
998203,1465890065, 7:41:5,0,419,392,371,0,20.48,19.16,18.13, 
999203,1465890066, 7:41:6,54,394,351,384,1.06,19.26,17.16,18.77, 
1000204,1465890067, 7:41:7,31,388,368,366,0.61,18.96,17.99,17.89, 
1001204,1465890068, 7:41:8,0,384,415,375,0,18.77,20.28,18.33, 
1002205,1465890069, 7:41:9,8,380,368,384,0.16,18.57,17.99,18.77, 
1003205,1465890070, 7:41:10,1,388,368,392,0.02,18.96,17.99,19.16, 
1004205,1465890071, 7:41:11,44,377,360,384,0.86,18.43,17.6,18.77, 
1005205,1465890072, 7:41:12,8,400,344,417,0.16,19.55,16.81,20.38, 
1006205,1465890073, 7:41:13,31,391,360,384,0.61,19.11,17.6,18.77, 
1007205,1465890074, 7:41:14,31,388,362,368,0.61,18.96,17.69,17.99, 
1008205,1465890075, 7:41:15,0,459,351,388,0,22.43,17.16,18.96, 
1009205,1465890076, 7:41:16,8,371,352,435,0.16,18.13,17.2,21.26, 
1010206,1465890077, 7:41:17,8,371,352,435,0.16,18.13,17.2,21.26, 
1011205,1465890078, 7:41:18,0,405,412,390,0,19.79,20.14,19.06, 
1012205,1465890079, 7:41:19,6,396,340,413,0.12,19.35,16.62,20.19, 
1013206,1465890080, 7:41:20,16,382,360,384,0.31,18.67,17.6,18.77, 
1014207,1465890081, 7:41:21,31,392,368,376,0.61,19.16,17.99,18.38, 
1015207,1465890082, 7:41:22,0,423,396,384,0,20.67,19.35,18.77, 
1016206,1465890083, 7:41:23,31,392,368,372,0.61,19.16,17.99,18.18, 
1017207,1465890084, 7:41:24,1,408,350,392,0.02,19.94,17.11,19.16, 
1018207,1465890085, 7:41:25,54,400,350,384,1.06,19.55,17.11,18.77, 
1019207,1465890086, 7:41:26,0,439,378,382,0,21.46,18.48,18.67, 
1020206,1465890087, 7:41:27,44,392,351,384,0.86,19.16,17.16,18.77, 
1021206,1465890088, 7:41:28,31,383,360,370,0.61,18.72,17.6,18.08, 
1022208,1465890089, 7:41:29,44,389,351,384,0.86,19.01,17.16,18.77, 
1023207,1465890090, 7:41:30,0,444,362,375,0,21.7,17.69,18.33, 
1024207,1465890091, 7:41:31,1,402,350,392,0.02,19.65,17.11,19.16, 
1025207,1465890092, 7:41:32,8,384,423,383,0.16,18.77,20.67,18.72, 
1026207,1465890093, 7:41:33,31,388,362,370,0.61,18.96,17.69,18.08, 
1027206,1465890094, 7:41:34,3,396,348,392,0.06,19.35,17.01,19.16, 
1028206,1465890095, 7:41:35,0,455,351,396,0,22.24,17.16,19.35, 
1029206,1465890096, 7:41:36,31,383,362,370,0.61,18.72,17.69,18.08, 
1030207,1465890097, 7:41:37,8,370,377,435,0.16,18.08,18.43,21.26, 
1031207,1465890098, 7:41:38,0,435,353,383,0,21.26,17.25,18.72, 
1032206,1465890099, 7:41:39,0,455,351,392,0,22.24,17.16,19.16, 
1033207,1465890100, 7:41:40,2,392,352,451,0.04,19.16,17.2,22.04, 
1034206,1465890101, 7:41:41,32,371,360,384,0.63,18.13,17.6,18.77, 
1035206,1465890102, 7:41:42,0,447,362,371,0,21.85,17.69,18.13, 
1036206,1465890103, 7:41:43,0,413,343,392,0,20.19,16.76,19.16, 
1037207,1465890104, 7:41:44,24,375,364,376,0.47,18.33,17.79,18.38, 
1038208,1465890105, 7:41:45,8,375,352,443,0.16,18.33,17.2,21.65, 
1039207,1465890106, 7:41:46,0,422,343,383,0,20.63,16.76,18.72, 
1040207,1465890107, 7:41:47,0,392,352,453,0,19.16,17.2,22.14, 
1041206,1465890108, 7:41:48,31,383,368,372,0.61,18.72,17.99,18.18, 
1042206,1465890109, 7:41:49,0,380,352,447,0,18.57,17.2,21.85, 
1043206,1465890110, 7:41:50,8,384,423,383,0.16,18.77,20.67,18.72, 
1044206,1465890111, 7:41:51,1,383,369,392,0.02,18.72,18.04,19.16, 
1045206,1465890112, 7:41:52,8,384,427,382,0.16,18.77,20.87,18.67, 
1046206,1465890113, 7:41:53,16,380,368,384,0.31,18.57,17.99,18.77, 
1047206,1465890114, 7:41:54,0,416,402,392,0,20.33,19.65,19.16, 
1048206,1465890115, 7:41:55,0,428,347,382,0,20.92,16.96,18.67, 
1049206,1465890116, 7:41:56,0,451,355,382,0,22.04,17.35,18.67, 
1050206,1465890117, 7:41:57,3,396,351,392,0.06,19.35,17.16,19.16, 
1051206,1465890118, 7:41:58,0,459,351,388,0,22.43,17.16,18.96, 
1052207,1465890119, 7:41:59,0,443,360,382,0,21.65,17.6,18.67, 
1053207,1465890120, 7:42:0,4,394,352,451,0.08,19.26,17.2,22.04, 
1054208,1465890121, 7:42:1,8,400,344,427,0.16,19.55,16.81,20.87, 
1055208,1465890122, 7:42:2,0,416,343,388,0,20.33,16.76,18.96, 
1056209,1465890123, 7:42:3,4,372,385,422,0.08,18.18,18.82,20.63, 
1057208,1465890124, 7:42:4,0,388,352,457,0,18.96,17.2,22.34, 
1058208,1465890125, 7:42:5,24,375,360,384,0.47,18.33,17.6,18.77, 
1059208,1465890126, 7:42:6,0,384,415,385,0,18.77,20.28,18.82, 
1060208,1465890127, 7:42:7,0,388,344,455,0,18.96,16.81,22.24, 
1061209,1465890128, 7:42:8,0,384,411,381,0,18.77,20.09,18.62, 
1062209,1465890129, 7:42:9,8,393,368,443,0.16,19.21,17.99,21.65, 
1063209,1465890130, 7:42:10,8,371,352,431,0.16,18.13,17.2,21.07, 
1064209,1465890131, 7:42:11,20,375,364,384,0.39,18.33,17.79,18.77, 
1065209,1465890132, 7:42:12,3,388,365,394,0.06,18.96,17.84,19.26, 
1066209,1465890133, 7:42:13,8,384,427,382,0.16,18.77,20.87,18.67, 
1067209,1465890134, 7:42:14,16,384,427,380,0.31,18.77,20.87,18.57, 
1068210,1465890135, 7:42:15,0,370,384,424,0,18.08,18.77,20.72, 
1069210,1465890136, 7:42:16,1,383,368,388,0.02,18.72,17.99,18.96, 
1070210,1465890137, 7:42:17,0,455,347,383,0,22.24,16.96,18.72, 
1071210,1465890138, 7:42:18,8,383,362,384,0.16,18.72,17.69,18.77, 
1072211,1465890139, 7:42:19,8,385,344,431,0.16,18.82,16.81,21.07, 
1073210,1465890140, 7:42:20,8,375,352,431,0.16,18.33,17.2,21.07, 
1074210,1465890141, 7:42:21,0,447,360,371,0,21.85,17.6,18.13, 
1075210,1465890142, 7:42:22,1,412,350,388,0.02,20.14,17.11,18.96, 
1076211,1465890143, 7:42:23,0,437,376,380,0,21.36,18.38,18.57, 
1077210,1465890144, 7:42:24,8,384,423,382,0.16,18.77,20.67,18.67, 
1078211,1465890145, 7:42:25,7,389,351,394,0.14,19.01,17.16,19.26, 
1079212,1465890146, 7:42:26,31,388,364,372,0.61,18.96,17.79,18.18, 
1080212,1465890147, 7:42:27,1,400,413,392,0.02,19.55,20.19,19.16, 
1081212,1465890148, 7:42:28,8,376,423,388,0.16,18.38,20.67,18.96, 
1082212,1465890149, 7:42:29,0,439,364,383,0,21.46,17.79,18.72, 
1083212,1465890150, 7:42:30,55,394,350,384,1.08,19.26,17.11,18.77, 
1084213,1465890151, 7:42:31,0,431,376,378,0,21.07,18.38,18.48, 
1085213,1465890152, 7:42:32,0,412,343,383,0,20.14,16.76,18.72, 
1086213,1465890153, 7:42:33,0,388,344,455,0,18.96,16.81,22.24, 
1087213,1465890154, 7:42:34,8,373,352,431,0.16,18.23,17.2,21.07, 
1088214,1465890155, 7:42:35,0,408,407,392,0,19.94,19.89,19.16, 
1089214,1465890156, 7:42:36,32,371,360,384,0.63,18.13,17.6,18.77, 
1090215,1465890157, 7:42:37,0,431,380,375,0,21.07,18.57,18.33, 
1091214,1465890158, 7:42:38,4,375,352,443,0.08,18.33,17.2,21.65, 
1092214,1465890159, 7:42:39,59,392,343,376,1.15,19.16,16.76,18.38, 
1093214,1465890160, 7:42:40,31,383,360,367,0.61,18.72,17.6,17.94, 
1094214,1465890161, 7:42:41,0,384,415,379,0,18.77,20.28,18.52, 
1095215,1465890162, 7:42:42,0,438,368,375,0,21.41,17.99,18.33, 
1096216,1465890163, 7:42:43,31,388,368,372,0.61,18.96,17.99,18.18, 
1097217,1465890164, 7:42:44,0,426,341,380,0,20.82,16.67,18.57, 
1098217,1465890165, 7:42:45,3,392,357,400,0.06,19.16,17.45,19.55, 
1099217,1465890166, 7:42:46,8,400,344,427,0.16,19.55,16.81,20.87, 
1100217,1465890167, 7:42:47,0,455,351,383,0,22.24,17.16,18.72, 
1101217,1465890168, 7:42:48,0,455,356,392,0,22.24,17.4,19.16, 
1102216,1465890169, 7:42:49,0,447,353,382,0,21.85,17.25,18.67, 
1103217,1465890170, 7:42:50,8,396,344,423,0.16,19.35,16.81,20.67, 
1104217,1465890171, 7:42:51,0,412,343,386,0,20.14,16.76,18.87, 
1105217,1465890172, 7:42:52,8,373,344,431,0.16,18.23,16.81,21.07, 
1106217,1465890173, 7:42:53,31,388,361,376,0.61,18.96,17.64,18.38, 
1107217,1465890174, 7:42:54,31,387,360,368,0.61,18.91,17.6,17.99, 
1108217,1465890175, 7:42:55,8,382,360,384,0.16,18.67,17.6,18.77, 
1109216,1465890176, 7:42:56,0,384,407,384,0,18.77,19.89,18.77, 
1110217,1465890177, 7:42:57,0,454,360,371,0,22.19,17.6,18.13, 
1111216,1465890178, 7:42:58,8,375,352,443,0.16,18.33,17.2,21.65, 
1112217,1465890179, 7:42:59,6,396,336,415,0.12,19.35,16.42,20.28, 
1113216,1465890180, 7:43:0,32,375,360,372,0.63,18.33,17.6,18.18, 
1114216,1465890181, 7:43:1,8,375,352,435,0.16,18.33,17.2,21.26, 
1115216,1465890182, 7:43:2,8,400,415,392,0.16,19.55,20.28,19.16, 
1116216,1465890183, 7:43:3,31,388,362,368,0.61,18.96,17.69,17.99, 
1117217,1465890184, 7:43:4,31,388,360,368,0.61,18.96,17.6,17.99, 
1118216,1465890185, 7:43:5,0,455,351,388,0,22.24,17.16,18.96, 
1119216,1465890186, 7:43:6,0,408,407,392,0,19.94,19.89,19.16, 
1120216,1465890187, 7:43:7,0,423,392,371,0,20.67,19.16,18.13, 
1121216,1465890188, 7:43:8,0,416,401,396,0,20.33,19.6,19.35, 
1122216,1465890189, 7:43:9,0,382,352,447,0,18.67,17.2,21.85, 
1123216,1465890190, 7:43:10,8,388,415,383,0.16,18.96,20.28,18.72, 
1124216,1465890191, 7:43:11,0,435,376,378,0,21.26,18.38,18.48, 
1125217,1465890192, 7:43:12,0,404,412,394,0,19.75,20.14,19.26, 
1126217,1465890193, 7:43:13,50,396,350,384,0.98,19.35,17.11,18.77, 
1127217,1465890194, 7:43:14,0,372,385,424,0,18.18,18.82,20.72, 
1128217,1465890195, 7:43:15,4,396,352,447,0.08,19.35,17.2,21.85, 
1129218,1465890196, 7:43:16,3,388,352,403,0.06,18.96,17.2,19.7, 
1130218,1465890197, 7:43:17,1,376,399,408,0.02,18.38,19.5,19.94, 
1131218,1465890198, 7:43:18,6,392,338,413,0.12,19.16,16.52,20.19, 
1132218,1465890199, 7:43:19,0,384,403,404,0,18.77,19.7,19.75, 
1133218,1465890200, 7:43:20,44,392,351,384,0.86,19.16,17.16,18.77, 
1134218,1465890201, 7:43:21,8,382,362,384,0.16,18.67,17.69,18.77, 
1135218,1465890202, 7:43:22,7,385,351,396,0.14,18.82,17.16,19.35, 
1136218,1465890203, 7:43:23,52,394,348,384,1.02,19.26,17.01,18.77, 
1137218,1465890204, 7:43:24,0,447,360,385,0,21.85,17.6,18.82, 
1138219,1465890205, 7:43:25,0,428,361,383,0,20.92,17.64,18.72, 
1139219,1465890206, 7:43:26,8,366,377,432,0.16,17.89,18.43,21.11, 
1140220,1465890207, 7:43:27,8,384,423,383,0.16,18.77,20.67,18.72, 
1141219,1465890208, 7:43:28,0,400,411,394,0,19.55,20.09,19.26, 
1142219,1465890209, 7:43:29,0,443,353,383,0,21.65,17.25,18.72, 
1143219,1465890210, 7:43:30,8,365,344,435,0.16,17.84,16.81,21.26, 
1144219,1465890211, 7:43:31,0,388,344,453,0,18.96,16.81,22.14, 
1145219,1465890212, 7:43:32,36,371,360,388,0.7,18.13,17.6,18.96, 
1146219,1465890213, 7:43:33,4,392,352,451,0.08,19.16,17.2,22.04, 
1147219,1465890214, 7:43:34,0,455,351,393,0,22.24,17.16,19.21, 
1148219,1465890215, 7:43:35,0,421,339,383,0,20.58,16.57,18.72, 
1149220,1465890216, 7:43:36,0,428,353,382,0,20.92,17.25,18.67, 
1150220,1465890217, 7:43:37,0,425,384,375,0,20.77,18.77,18.33, 
1151220,1465890218, 7:43:38,0,447,360,371,0,21.85,17.6,18.13, 
1152220,1465890219, 7:43:39,8,367,352,443,0.16,17.94,17.2,21.65, 
1153220,1465890220, 7:43:40,8,366,377,431,0.16,17.89,18.43,21.07, 
1154221,1465890221, 7:43:41,1,376,399,408,0.02,18.38,19.5,19.94, 
1155221,1465890222, 7:43:42,0,443,364,367,0,21.65,17.79,17.94, 
1156222,1465890223, 7:43:43,0,412,343,388,0,20.14,16.76,18.96, 
1157221,1465890224, 7:43:44,0,413,402,388,0,20.19,19.65,18.96, 
1158221,1465890225, 7:43:45,31,383,368,366,0.61,18.72,17.99,17.89, 
1159221,1465890226, 7:43:46,44,389,351,384,0.86,19.01,17.16,18.77, 
1160221,1465890227, 7:43:47,31,383,368,368,0.61,18.72,17.99,17.99, 
1161221,1465890228, 7:43:48,44,389,351,384,0.86,19.01,17.16,18.77, 
1162221,1465890229, 7:43:49,8,385,368,440,0.16,18.82,17.99,21.51, 
1163223,1465890230, 7:43:50,0,426,355,382,0,20.82,17.35,18.67, 
1164223,1465890231, 7:43:51,0,447,362,367,0,21.85,17.69,17.94, 
1165223,1465890232, 7:43:52,24,375,364,384,0.47,18.33,17.79,18.77, 
1166223,1465890233, 7:43:53,0,427,388,367,0,20.87,18.96,17.94, 
1167223,1465890234, 7:43:54,55,393,343,384,1.08,19.21,16.76,18.77, 
1168222,1465890235, 7:43:55,50,394,351,384,0.98,19.26,17.16,18.77, 
1169223,1465890236, 7:43:56,20,380,368,384,0.39,18.57,17.99,18.77, 
1170224,1465890237, 7:43:57,55,394,343,376,1.08,19.26,16.76,18.38, 
1171224,1465890238, 7:43:58,7,389,356,394,0.14,19.01,17.4,19.26, 
1172224,1465890239, 7:43:59,1,376,397,412,0.02,18.38,19.4,20.14, 
1173224,1465890240, 7:44:0,0,400,415,392,0,19.55,20.28,19.16, 
1174224,1465890241, 7:44:1,0,436,368,380,0,21.31,17.99,18.57, 
1175225,1465890242, 7:44:2,31,383,364,368,0.61,18.72,17.79,17.99, 
1176226,1465890243, 7:44:3,0,392,344,459,0,19.16,16.81,22.43, 
1177225,1465890244, 7:44:4,40,385,351,384,0.78,18.82,17.16,18.77, 
1178225,1465890245, 7:44:5,1,382,362,388,0.02,18.67,17.69,18.96, 
1179225,1465890246, 7:44:6,0,384,405,389,0,18.77,19.79,19.01, 
1180225,1465890247, 7:44:7,55,392,343,384,1.08,19.16,16.76,18.77, 
1181225,1465890248, 7:44:8,31,383,364,372,0.61,18.72,17.79,18.18, 
1182226,1465890249, 7:44:9,0,455,351,400,0,22.24,17.16,19.55, 
1183227,1465890250, 7:44:10,8,385,344,431,0.16,18.82,16.81,21.07, 
1184226,1465890251, 7:44:11,4,372,387,420,0.08,18.18,18.91,20.53, 
1185226,1465890252, 7:44:12,8,393,344,431,0.16,19.21,16.81,21.07, 
1186226,1465890253, 7:44:13,6,392,338,416,0.12,19.16,16.52,20.33, 
1187226,1465890254, 7:44:14,8,374,371,436,0.16,18.28,18.13,21.31, 
1188227,1465890255, 7:44:15,0,401,408,400,0,19.6,19.94,19.55, 
1189228,1465890256, 7:44:16,8,384,423,388,0.16,18.77,20.67,18.96, 
1190228,1465890257, 7:44:17,0,447,355,388,0,21.85,17.35,18.96, 
1191227,1465890258, 7:44:18,0,447,351,392,0,21.85,17.16,19.16, 
1192227,1465890259, 7:44:19,6,388,338,416,0.12,18.96,16.52,20.33, 
1193227,1465890260, 7:44:20,3,383,345,404,0.06,18.72,16.86,19.75, 
1194227,1465890261, 7:44:21,3,404,350,392,0.06,19.75,17.11,19.16, 
1195227,1465890262, 7:44:22,8,392,344,431,0.16,19.16,16.81,21.07, 
1196227,1465890263, 7:44:23,0,451,351,394,0,22.04,17.16,19.26, 
1197227,1465890264, 7:44:24,31,382,360,370,0.61,18.67,17.6,18.08, 
1198227,1465890265, 7:44:25,32,371,356,384,0.63,18.13,17.4,18.77, 
1199227,1465890266, 7:44:26,4,392,360,447,0.08,19.16,17.6,21.85, 
1200227,1465890267, 7:44:27,3,392,351,396,0.06,19.16,17.16,19.35, 
1201227,1465890268, 7:44:28,8,374,352,447,0.16,18.28,17.2,21.85, 
1202227,1465890269, 7:44:29,0,400,410,396,0,19.55,20.04,19.35, 
1203227,1465890270, 7:44:30,31,383,353,376,0.61,18.72,17.25,18.38, 
1204227,1465890271, 7:44:31,0,447,360,375,0,21.85,17.6,18.33, 
1205227,1465890272, 7:44:32,8,384,423,388,0.16,18.77,20.67,18.96, 
1206227,1465890273, 7:44:33,8,368,423,382,0.16,17.99,20.67,18.67, 
1207227,1465890274, 7:44:34,8,367,352,441,0.16,17.94,17.2,21.55, 
1208227,1465890275, 7:44:35,1,380,368,396,0.02,18.57,17.99,19.35, 
1209227,1465890276, 7:44:36,31,382,368,376,0.61,18.67,17.99,18.38, 
1210227,1465890277, 7:44:37,8,366,379,432,0.16,17.89,18.52,21.11, 
1211227,1465890278, 7:44:38,0,429,361,383,0,20.97,17.64,18.72, 
1212227,1465890279, 7:44:39,8,392,344,427,0.16,19.16,16.81,20.87, 
1213228,1465890280, 7:44:40,8,375,352,447,0.16,18.33,17.2,21.85, 
1214228,1465890281, 7:44:41,0,428,361,380,0,20.92,17.64,18.57, 
1215228,1465890282, 7:44:42,0,407,406,392,0,19.89,19.84,19.16, 
1216228,1465890283, 7:44:43,8,367,352,435,0.16,17.94,17.2,21.26, 
1217228,1465890284, 7:44:44,0,445,368,371,0,21.75,17.99,18.13, 
1218228,1465890285, 7:44:45,7,385,360,394,0.14,18.82,17.6,19.26, 
1219228,1465890286, 7:44:46,0,439,355,382,0,21.46,17.35,18.67, 
1220229,1465890287, 7:44:47,0,429,384,375,0,20.97,18.77,18.33, 
1221229,1465890288, 7:44:48,24,374,364,372,0.47,18.28,17.79,18.18, 
1222230,1465890289, 7:44:49,0,431,368,380,0,21.07,17.99,18.57, 
1223231,1465890290, 7:44:50,8,384,427,383,0.16,18.77,20.87,18.72, 
1224231,1465890291, 7:44:51,0,389,344,455,0,19.01,16.81,22.24, 
1225231,1465890292, 7:44:52,31,383,362,368,0.61,18.72,17.69,17.99, 
1226231,1465890293, 7:44:53,31,383,360,368,0.61,18.72,17.6,17.99, 
1227230,1465890294, 7:44:54,0,404,410,392,0,19.75,20.04,19.16, 
1228230,1465890295, 7:44:55,0,384,411,381,0,18.77,20.09,18.62, 
1229231,1465890296, 7:44:56,55,394,343,376,1.08,19.26,16.76,18.38, 
1230231,1465890297, 7:44:57,31,383,368,372,0.61,18.72,17.99,18.18, 
1231232,1465890298, 7:44:58,0,455,351,396,0,22.24,17.16,19.35, 
1232230,1465890299, 7:44:59,24,375,360,376,0.47,18.33,17.6,18.38, 
1233231,1465890300, 7:45:0,32,371,356,384,0.63,18.13,17.4,18.77, 
1234230,1465890301, 7:45:1,8,384,423,383,0.16,18.77,20.67,18.72, 
1235230,1465890302, 7:45:2,0,455,351,394,0,22.24,17.16,19.26, 
1236230,1465890303, 7:45:3,47,392,339,376,0.92,19.16,16.57,18.38, 
1237231,1465890304, 7:45:4,8,372,384,426,0.16,18.18,18.77,20.82, 
1238230,1465890305, 7:45:5,8,372,385,421,0.16,18.18,18.82,20.58, 
1239230,1465890306, 7:45:6,8,396,360,443,0.16,19.35,17.6,21.65, 
1240230,1465890307, 7:45:7,7,392,338,411,0.14,19.16,16.52,20.09, 
1241231,1465890308, 7:45:8,0,426,345,383,0,20.82,16.86,18.72, 
1242231,1465890309, 7:45:9,0,445,345,383,0,21.75,16.86,18.72, 
1243231,1465890310, 7:45:10,7,392,338,413,0.14,19.16,16.52,20.19, 
1244231,1465890311, 7:45:11,0,455,351,396,0,22.24,17.16,19.35, 
1245232,1465890312, 7:45:12,16,376,362,388,0.31,18.38,17.69,18.96, 
1246232,1465890313, 7:45:13,47,383,337,376,0.92,18.72,16.47,18.38, 
1247232,1465890314, 7:45:14,0,431,364,383,0,21.07,17.79,18.72, 
1248232,1465890315, 7:45:15,8,377,344,435,0.16,18.43,16.81,21.26, 
1249233,1465890316, 7:45:16,4,368,395,416,0.08,17.99,19.31,20.33, 
1250232,1465890317, 7:45:17,0,423,389,371,0,20.67,19.01,18.13, 
1251232,1465890318, 7:45:18,0,47,64,16,0,2.3,3.13,0.78, 
1000,1465890325, 7:45:25,1,92,64,127,0.02,4.5,3.13,6.21,
2000,1465890326, 7:45:26,1,92,96,64,0.02,4.5,4.69,3.13,
3001,1465890327, 7:45:27,0,95,80,79,0,4.64,3.91,3.86,
4001,1465890328, 7:45:28,0,79,104,67,0,3.86,5.08,3.27,
5002,1465890329, 7:45:29,8,66,64,127,0.16,3.23,3.13,6.21,
6002,1465890330, 7:45:30,8,68,67,112,0.16,3.32,3.27,5.47,
7001,1465890331, 7:45:31,0,95,80,79,0,4.64,3.91,3.86,
8001,1465890332, 7:45:32,0,191,142,160,0,9.34,6.94,7.82,
9003,1465890333, 7:45:33,0,136,175,139,0,6.65,8.55,6.79,
10003,1465890334, 7:45:34,8,160,128,145,0.16,7.82,6.26,7.09,
11004,1465890335, 7:45:35,6,160,128,137,0.12,7.82,6.26,6.7,
12005,1465890336, 7:45:36,15,131,126,144,0.29,6.4,6.16,7.04,
13005,1465890337, 7:45:37,0,160,107,127,0,7.82,5.23,6.21,
14006,1465890338, 7:45:38,6,799,797,886,0.12,-25.01,-25.11,-20.76,
15005,1465890339, 7:45:39,0,594,548,533,0,29.03,26.78,26.05,
16006,1465890340, 7:45:40,0,255,224,223,0,12.46,10.95,10.9,
17006,1465890341, 7:45:41,0,255,212,203,0,12.46,10.36,9.92,
18007,1465890342, 7:45:42,0,255,210,207,0,12.46,10.26,10.12,
19007,1465890343, 7:45:43,0,407,348,351,0,19.89,17.01,17.16,
20007,1465890344, 7:45:44,8,400,447,404,0.16,19.55,21.85,19.75,
21006,1465890345, 7:45:45,15,399,372,397,0.29,19.5,18.18,19.4,
22007,1465890346, 7:45:46,0,439,394,379,0,21.46,19.26,18.52,
23006,1465890347, 7:45:47,1,388,372,400,0.02,18.96,18.18,19.55,
24006,1465890348, 7:45:48,31,390,368,375,0.61,19.06,17.99,18.33,
25006,1465890349, 7:45:49,0,455,364,389,0,22.24,17.79,19.01,
26006,1465890350, 7:45:50,31,390,364,372,0.61,19.06,17.79,18.18,
27006,1465890351, 7:45:51,16,567,608,619,0.31,27.71,29.72,30.25,
28007,1465890352, 7:45:52,7,474,508,493,0.14,23.17,24.83,24.1,
29008,1465890353, 7:45:53,16,528,424,472,0.31,25.81,20.72,23.07,
30007,1465890354, 7:45:54,94,450,487,451,1.84,21.99,23.8,22.04,
31007,1465890355, 7:45:55,144,433,408,508,2.82,21.16,19.94,24.83,
32007,1465890356, 7:45:56,160,435,416,513,3.13,21.26,20.33,25.07,
33007,1465890357, 7:45:57,223,458,414,452,4.36,22.39,20.23,22.09,
34008,1465890358, 7:45:58,228,439,421,448,4.46,21.46,20.58,21.9,
